id,title,body,labels,milestone
E2-F1-I4,E2-F1-I4: Create revision history & rollback,"### Summary
Store content revisions with rollback support and actor attribution.

### Scope
- [ ] Model revision history with diff metadata
- [ ] Implement rollback action with audit trail
- [ ] Test data integrity after rollbacks

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I1, E11-F1-I3
",epic:ContentManagementPagesPosts;type:Backend;priority:P1;area:Versioning,Week 2
E2-F1-I5,E2-F1-I5: Integrate rich text editor with auto-save & preview,"### Summary
Embed rich text editor supporting auto-save drafts and preview rendering.

### Scope
- [ ] Install and configure chosen rich text editor
- [ ] Implement auto-save intervals for draft content
- [ ] Provide preview mode via signed route

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I1, E11-F1-I4
",epic:ContentManagementPagesPosts;type:Fullstack;priority:P1;area:EditorExperience,Week 3
E2-F1-I6,E2-F1-I6: Implement content duplication & quick publish,"### Summary
Allow duplicating content with related data and provide quick publish action for authorized roles.

### Scope
- [ ] Create duplication routine for content and relationships
- [ ] Add quick publish endpoint with permission checks
- [ ] Verify cloned records generate unique slugs

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I2
",epic:ContentManagementPagesPosts;type:Backend;priority:P2;area:Workflow,Week 3
E3-F1-I1,E3-F1-I1: Configure media storage adapters,"### Summary
Configure Flysystem disks for local and S3 media storage with validation.

### Scope
- [ ] Set up local and S3 disks with environment toggles
- [ ] Document storage symlink and permission steps
- [ ] Smoke test uploads to each disk

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I4
",epic:MediaLibrary;type:Backend;priority:P0;area:Media,Week 1
E3-F1-I2,E3-F1-I2: Implement media upload validation & metadata capture,"### Summary
Create media upload endpoint enforcing validation and storing metadata.

### Scope
- [ ] Validate uploads against MIME type and size limits
- [ ] Persist media metadata including uploader
- [ ] Return stored metadata in API response

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E3-F1-I1
",epic:MediaLibrary;type:Backend;priority:P1;area:Media,Week 1
E3-F1-I3,E3-F1-I3: Build thumbnail generation pipeline,"### Summary
Generate optimized thumbnails asynchronously for uploaded images.

### Scope
- [ ] Create jobs to produce configured thumbnail sizes
- [ ] Attach thumbnail metadata to media records
- [ ] Test generation and cleanup on delete

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E3-F1-I2
",epic:MediaLibrary;type:Backend;priority:P1;area:Media,Week 2
E3-F1-I4,E3-F1-I4: Develop media library browser UI,"### Summary
Provide admin media browser with filters, pagination, and bulk actions.

### Scope
- [ ] Design media listing with search and filters
- [ ] Implement bulk selection and delete workflows
- [ ] Integrate UI into existing admin layout

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E3-F1-I2
",epic:MediaLibrary;type:Frontend;priority:P1;area:MediaUi,Week 2
E3-F1-I5,E3-F1-I5: Embed media picker into content editor,"### Summary
Integrate media picker modal into content editor to insert responsive media.

### Scope
- [ ] Expose media picker with search and upload tabs
- [ ] Insert responsive markup with alt text handling
- [ ] Verify picker works for posts and pages

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E3-F1-I4, E2-F1-I5
",epic:MediaLibrary;type:Fullstack;priority:P1;area:EditorExperience,Week 3
E3-F1-I6,E3-F1-I6: Enable media replacement with stable URLs,"### Summary
Allow replacing media files while preserving stable URLs and audit history.

### Scope
- [ ] Implement replace action keeping media IDs
- [ ] Handle archival or purge of old files
- [ ] Log replacement events for auditing

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E3-F1-I2
",epic:MediaLibrary;type:Backend;priority:P2;area:Media,Week 3
E3-F1-I7,E3-F1-I7: Link media assets to content records,"### Summary
Implement polymorphic relationships between media assets and content entities.

### Scope
- [ ] Define polymorphic relation for media attachments
- [ ] Ensure cascade cleanup prevents orphaned files
- [ ] Test retrieval of media per content item

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E3-F1-I2, E2-F1-I1
",epic:MediaLibrary;type:Backend;priority:P1;area:Media,Week 2
E4-F1-I1,E4-F1-I1: Create taxonomy schema with hierarchy,"### Summary
Define database schema and models for hierarchical categories and tags.

### Scope
- [ ] Write migrations for categories and tags with hierarchy
- [ ] Add model helpers for ancestry queries
- [ ] Seed baseline taxonomy data

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I1, E11-F1-I2
",epic:TaxonomyMetadata;type:Backend;priority:P0;area:Taxonomy,Week 1
E4-F1-I2,E4-F1-I2: Build taxonomy management UI,"### Summary
Deliver admin UI for managing categories and tags with drag-and-drop ordering.

### Scope
- [ ] Create CRUD views for categories and tags
- [ ] Implement drag-and-drop reordering with validation
- [ ] Automate browser tests for taxonomy flows

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E4-F1-I1
",epic:TaxonomyMetadata;type:Frontend;priority:P1;area:TaxonomyUi,Week 2
E4-F1-I3,E4-F1-I3: Implement taxonomy assignment & filters,"### Summary
Enable assigning categories and tags to content and filtering listings accordingly.

### Scope
- [ ] Add category and tag selection to content forms
- [ ] Expose admin filters by taxonomy
- [ ] Reflect taxonomy filters in API responses

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E4-F1-I1, E2-F1-I1
",epic:TaxonomyMetadata;type:Backend;priority:P1;area:Taxonomy,Week 2
E4-F1-I4,E4-F1-I4: Implement SEO meta fields & defaults,"### Summary
Capture SEO metadata for content and fall back to site defaults when absent.

### Scope
- [ ] Add meta title, description, canonical fields to forms
- [ ] Resolve default values from site settings
- [ ] Validate canonical URL format and lengths

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I1, E7-F1-I1
",epic:TaxonomyMetadata;type:Backend;priority:P1;area:Seo,Week 3
E4-F1-I5,E4-F1-I5: Generate XML sitemap and manage robots.txt,"### Summary
Automate sitemap generation and configurable robots.txt management for published content.

### Scope
- [ ] Schedule command to regenerate sitemap
- [ ] Expose configurable robots.txt content
- [ ] Cache and test public endpoints

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E4-F1-I4, E6-F1-I2
",epic:TaxonomyMetadata;type:Backend;priority:P2;area:Seo,Week 3
E4-F1-I6,E4-F1-I6: Configure category-based routing,"### Summary
Adopt /blog/{category}/{slug} routing with breadcrumbs and redirects.

### Scope
- [ ] Define routes respecting category hierarchy
- [ ] Update breadcrumbs and canonical links
- [ ] Handle redirects for legacy slugs

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E4-F1-I1, E6-F1-I2
",epic:TaxonomyMetadata;type:Backend;priority:P1;area:Routing,Week 2
E5-F1-I1,E5-F1-I1: Implement workflow state machine,"### Summary
Create workflow engine tracking status transitions with history and actor notes.

### Scope
- [ ] Model workflow states and history records
- [ ] Enforce allowed transitions with service layer
- [ ] Test success and error paths for transitions

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I2, E11-F1-I3
",epic:PublishingWorkflow;type:Backend;priority:P0;area:Workflow,Week 2
E5-F1-I2,E5-F1-I2: Configure role-based workflow permissions,"### Summary
Align workflow actions with role permissions and hide unauthorized options in UI.

### Scope
- [ ] Define role-to-action matrix for workflow
- [ ] Guard actions with policies and middleware
- [ ] Add authorization tests for forbidden states

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F1-I2, E5-F1-I1
",epic:PublishingWorkflow;type:Backend;priority:P1;area:Workflow,Week 2
E5-F1-I3,E5-F1-I3: Implement scheduled publishing jobs,"### Summary
Schedule queued jobs to publish content at configured timestamps with retries.

### Scope
- [ ] Create job to publish content at publish_at
- [ ] Document scheduler configuration
- [ ] Record failures with alert hooks

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E5-F1-I1
",epic:PublishingWorkflow;type:Backend;priority:P1;area:Scheduling,Week 2
E5-F1-I4,E5-F1-I4: Provide secure preview links,"### Summary
Offer signed preview URLs to access draft content without authentication.

### Scope
- [ ] Generate signed preview URLs with expiry
- [ ] Render draft content with publish layout
- [ ] Log preview access for audit

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I5, E5-F1-I1
",epic:PublishingWorkflow;type:Backend;priority:P1;area:Workflow,Week 3
E5-F1-I5,E5-F1-I5: Send approval notifications & change logs,"### Summary
Dispatch notifications on workflow transitions and capture change log entries.

### Scope
- [ ] Configure notifications for reviewers and authors
- [ ] Record change log with action metadata
- [ ] Make notification channels configurable

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E5-F1-I2, E11-F1-I3
",epic:PublishingWorkflow;type:Backend;priority:P2;area:Workflow,Week 3
E5-F1-I6,E5-F1-I6: Implement quick and bulk publish actions,"### Summary
Add quick and bulk publish capabilities respecting permissions and auditing.

### Scope
- [ ] Create quick publish endpoint with confirmation
- [ ] Implement bulk publish workflow for selected items
- [ ] Test authorization around quick and bulk publish

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E5-F1-I2
",epic:PublishingWorkflow;type:Backend;priority:P2;area:Workflow,Week 3
E5-F1-I7,E5-F1-I7: Support revert published content to draft,"### Summary
Enable reverting published content back to draft with notifications and cache invalidation.

### Scope
- [ ] Implement revert action recording reason
- [ ] Invalidate caches and search indexes on revert
- [ ] Notify original author about status change

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E5-F1-I1
",epic:PublishingWorkflow;type:Backend;priority:P1;area:Workflow,Week 3
E5-F1-I8,E5-F1-I8: TBD: Clarify request changes feedback process,"### Summary
Document expectations for future request changes workflow and follow-up tasks.

### Scope
- [ ] Facilitate workshop to gather feedback requirements
- [ ] Document UI and notification needs
- [ ] Create backlog ticket referencing agreed scope

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
",epic:PublishingWorkflow;type:Documentation;priority:P3;area:Workflow,Week 4
E6-F1-I1,E6-F1-I1: Establish base Blade layout & theme structure,"### Summary
Create foundational Blade layout structure with asset pipeline configuration.

### Scope
- [ ] Build master layout with shared sections and partials
- [ ] Configure Vite/Mix asset pipeline with versioning
- [ ] Document layout components and theme hooks

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I1
",epic:PublicDeliveryFrontend;type:Frontend;priority:P0;area:Frontend,Week 1
E6-F1-I2,E6-F1-I2: Implement SEO-friendly routes & controllers,"### Summary
Expose public routes for pages and posts with SEO metadata rendering.

### Scope
- [ ] Create controllers for posts and pages by slug
- [ ] Return 404 for unpublished or missing content
- [ ] Render meta tags and structured data

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I1, E6-F1-I1
",epic:PublicDeliveryFrontend;type:Backend;priority:P1;area:Frontend,Week 2
E6-F1-I3,E6-F1-I3: Configure caching layer & invalidation hooks,"### Summary
Implement caching for listings and details with automatic invalidation on content changes.

### Scope
- [ ] Configure cache driver and tag strategy
- [ ] Apply caching to controllers and services
- [ ] Invalidate tags on publish/update events

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I7, E6-F1-I2
",epic:PublicDeliveryFrontend;type:Backend;priority:P1;area:Caching,Week 3
E6-F1-I4,E6-F1-I4: Build dynamic menus and breadcrumbs,"### Summary
Render dynamic menus and breadcrumbs derived from menu settings and taxonomy hierarchy.

### Scope
- [ ] Develop menu component for nested navigation
- [ ] Create breadcrumb component using hierarchy
- [ ] Expose widgets for placement in layouts

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E7-F1-I3, E6-F1-I1
",epic:PublicDeliveryFrontend;type:Frontend;priority:P1;area:Navigation,Week 3
E6-F1-I5,"E6-F1-I5: Implement search, pagination, and archives","### Summary
Provide search and archive views with pagination for published content.

### Scope
- [ ] Build search query endpoint filtering published content
- [ ] Implement archive pages grouped by period
- [ ] Validate pagination metadata in tests

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E6-F1-I2
",epic:PublicDeliveryFrontend;type:Fullstack;priority:P1;area:Frontend,Week 3
E6-F1-I6,E6-F1-I6: Wire configurable home and blog landing pages,"### Summary
Respect admin-configured homepage and blog landing selections on the frontend.

### Scope
- [ ] Read homepage/blog selections from settings
- [ ] Route requests to configured pages with fallback
- [ ] Write acceptance tests for configured routing

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E7-F1-I4, E6-F1-I2
",epic:PublicDeliveryFrontend;type:Backend;priority:P1;area:Frontend,Week 3
E6-F1-I7,E6-F1-I7: Design error and maintenance pages,"### Summary
Deliver custom 404 and maintenance views consistent with site branding.

### Scope
- [ ] Create branded 404 and maintenance Blade views
- [ ] Document maintenance mode toggle process
- [ ] Test rendering under simulated error states

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E6-F1-I1
",epic:PublicDeliveryFrontend;type:Frontend;priority:P1;area:Frontend,Week 2
E6-F1-I8,E6-F1-I8: Implement cache busting on content publish,"### Summary
Ensure publishing events trigger cache clearing and asset version bumps.

### Scope
- [ ] Hook publish/schedule events to cache clearing
- [ ] Update asset versioning for cache busting
- [ ] Test that stale content is refreshed

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E6-F1-I3, E5-F1-I3
",epic:PublicDeliveryFrontend;type:Backend;priority:P2;area:Caching,Week 3
E7-F1-I1,E7-F1-I1: Implement settings persistence schema,"### Summary
Create settings storage schema with repositories and default seed data.

### Scope
- [ ] Write migration for settings JSON table
- [ ] Expose typed getters and setters via repository
- [ ] Seed default site settings records

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I1
",epic:SiteSettingsConfiguration;type:Backend;priority:P0;area:Settings,Week 1
